snapshot_time_utc,underlying_price_ref,spot_venue_diff,okx_basis,binance_basis,realized_vol_14d_ann,option_type,is_call,is_put,strike,expiry_utc,time_to_maturity_years,ttm_sq,option_price,bid_price,ask_price,mark_price,mark_iv,iv_rv_gap,log_moneyness,log_moneyness_sq,abs_log_moneyness,ttm_x_abs_log_moneyness,rel_bid_ask_spread,oi_raw,oi_rel
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,122000.0,2025-11-28T08:00:00+00:00,0.15844748858447488,0.0251056066387273,0.0772184344160704,0.077,0.078,0.0772184344160704,0.3672277137,0.06404888659565211,-0.043679642699328655,0.001907911186341015,0.043679642699328655,0.006920929687975819,0.012903225806451625,377.0,0.0029423012385761445
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,CALL,1,0,108000.0,2025-10-04T08:00:00+00:00,0.007762557077625571,6.025729238339484e-05,0.0760094437681372,0.005,,0.0760094437681372,0.4366458781,0.1334670509956521,0.07821017490970825,0.006116831459407157,0.07821017490970825,0.0006071109467876896,,0.0,0.0
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,114500.0,2025-10-04T08:00:00+00:00,0.007762557077625571,6.025729238339484e-05,0.0036931926684629,0.0036,0.0037,0.0036931926684629,0.314113887,0.010935059895652077,0.01976657903963349,0.00039071764693007804,0.01976657903963349,0.00015343919802455222,0.027397260273972674,322.0,0.002513053047271933
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,CALL,1,0,105000.0,2025-11-28T08:00:00+00:00,0.15844748858447488,0.0251056066387273,0.1304422668924506,0.1275,0.131,0.1304422668924506,0.3964989932,0.09332016609565208,0.10638105187640448,0.01131692819833026,0.10638105187640448,0.01685581050279103,0.02707930367504838,855.0,0.006672858246638206
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,112000.0,2025-10-31T08:00:00+00:00,0.0817351598173516,0.006680636350368008,0.0204468951394264,0.02,0.0205,0.0204468951394264,0.3531632323,0.049984405195652115,0.041842530738833254,0.0017507973786302059,0.041842530738833254,0.003420005937100983,0.024691358024691377,16871.0,0.13166993155442477
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,CALL,1,0,105000.0,2025-12-26T08:00:00+00:00,0.23515981735159816,0.05530013969683701,0.1470583870056957,0.1445,0.1485,0.1470583870056957,0.413854902,0.11067607489565212,0.10638105187640448,0.01131692819833026,0.10638105187640448,0.025016548728926166,0.02730375426621163,939.0,0.007328437302448276
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,280000.0,2026-09-25T08:00:00+00:00,0.9831050228310503,0.9664954859156399,1.2234439400014,,,1.2234439400014,0.471329344,0.16815051689565208,-0.8744482011353217,0.7646596564688001,0.8744482011353217,0.8596744187417114,,0.0,0.0
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,105000.0,2025-12-26T08:00:00+00:00,0.23515981735159816,0.05530013969683701,0.0309839918959585,0.0305,0.031,0.0309839918959585,0.413854902,0.11067607489565212,0.10638105187640448,0.01131692819833026,0.10638105187640448,0.025016548728926166,0.016260162601626032,4367.0,0.03408230638955444
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,105000.0,2025-11-28T08:00:00+00:00,0.15844748858447488,0.0251056066387273,0.0196704373366208,0.0195,0.02,0.0196704373366208,0.3964989932,0.09332016609565208,0.10638105187640448,0.01131692819833026,0.10638105187640448,0.01685581050279103,0.025316455696202556,4623.0,0.03608026160726132
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,CALL,1,0,112000.0,2025-10-03T08:00:00+00:00,0.00502283105022831,2.5228831759137632e-05,0.0422096158185032,0.041,0.0425,0.0422096158185032,0.3794342399,0.07625541279565212,0.041842530738833254,0.0017507973786302059,0.041842530738833254,0.0002101679626151442,0.03592814371257488,14470.0,0.11293129687585361
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,115000.0,2025-10-02T08:00:00+00:00,0.00228310502283105,5.2125685452763695e-06,0.0011191399770952,0.0011,0.0012,0.0011191399770952,0.3159314242,0.012752597095652074,0.015409273670677879,0.0002374457150578465,0.015409273670677879,3.518099011570292e-05,0.0869565217391303,2911.0,0.02271893608884657
2025-10-01T12:00:00+00:00,116785.79000000001,-6.490515669758919e-05,-0.00045724740998022255,-0.0004519385449205664,0.3031788271043479,PUT,0,1,108000.0,2025-10-04T08:00:00+00:00,0.007762557077625571,6.025729238339484e-05,0.0002766958921814,0.0002,0.0003,0.0002766958921814,0.4366458781,0.1334670509956521,0.07821017490970825,0.006116831459407157,0.07821017490970825,0.0006071109467876896,0.39999999999999986,1202.0,0.009381024108139326
