snapshot_time_utc,underlying_price_ref,realized_vol_14d_ann,option_type,is_call,strike,expiry_utc,time_to_maturity_years,option_price,log_moneyness,ttm_x_abs_log_moneyness,iv_rv_gap,rel_bid_ask_spread,oi_rel
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,100000.0,2025-04-25T08:00:00+00:00,0.06529680365296804,0.19345446953189072,-0.17522459987373443,0.011441606293125125,0.07765181514178104,0.007761966364812425,0.04442726662462621
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,90000.0,2025-06-27T08:00:00+00:00,0.23789954337899544,0.07091975835535153,-0.06986408421590821,0.016620633733556246,0.07606338124178103,0.014084507042253535,0.11575703330010781
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,180000.0,2025-09-26T08:00:00+00:00,0.4872146118721461,0.009666952741356663,-0.7630112647758536,0.3717502372218428,0.18925805244178107,0.14634146341463414,0.07469639333591001
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,145000.0,2025-04-25T08:00:00+00:00,0.06529680365296804,0.7231334037929265,-0.5467881563062175,0.035703518882095484,0.38650253974178106,,0.0013222400781138753
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,72000.0,2025-04-25T08:00:00+00:00,0.06529680365296804,0.008736803934042858,0.15327946709830154,0.01000865926714937,0.13686597294178104,0.05714285714285699,0.1420797819320979
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,88000.0,2025-04-11T08:00:00+00:00,0.026940639269406392,0.013199156097308706,-0.04739122836384955,0.001276749987884531,0.05332730914178102,0.03773584905660381,0.06857340466649037
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,55000.0,2025-09-26T08:00:00+00:00,0.4872146118721461,0.3803843695766993,0.4226124008818859,0.20590293686802386,0.14030579054178105,0.007874015748031503,0.0010171077523952888
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,55000.0,2025-04-25T08:00:00+00:00,0.06529680365296804,0.34751951203749243,0.4226124008818859,0.02759523896169392,0.37309675874178105,0.0043134435657800185,9.1539697715576e-05
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,120000.0,2025-05-30T08:00:00+00:00,0.16118721461187216,0.0053121987591978,-0.35754615666768913,0.05763186908844487,0.11760004074178099,0.09523809523809516,0.06118920238410057
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,79000.0,2025-04-04T08:00:00+00:00,0.007762557077625571,0.0031990510517973386,0.06049773364733549,0.0004696171105044307,0.18916558344178103,0.030769230769230715,0.09204825159177363
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,80000.0,2025-04-04T08:00:00+00:00,0.007762557077625571,0.05182804816849185,0.04791895144047524,0.00037197359565665713,0.16335460994178108,0.02898550724637684,0.0026648223112756566
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,80000.0,2026-03-27T08:00:00+00:00,0.9858447488584475,0.25400508406852684,0.04791895144047524,0.04724064664839546,0.12424373314178105,0.029440628066732113,0.0
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,55000.0,2025-09-26T08:00:00+00:00,0.4872146118721461,0.018479862563359345,0.4226124008818859,0.20590293686802386,0.14030579054178105,0.08000000000000007,0.04376614658556927
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,92000.0,2025-04-18T08:00:00+00:00,0.046118721461187215,0.10463764033523237,-0.09184299093468337,0.004235681317079005,0.054885895241781,0.014388489208633106,0.0007526597367725137
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,88000.0,2025-04-11T08:00:00+00:00,0.026940639269406392,0.060327306301441896,-0.04739122836384955,0.001276749987884531,0.05332730914178102,0.016528925619834725,0.023973229723956956
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,72000.0,2025-04-25T08:00:00+00:00,0.06529680365296804,0.1532716703539293,0.15327946709830154,0.01000865926714937,0.13686597294178104,0.009787928221859716,0.009265851624321081
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,55000.0,2025-04-25T08:00:00+00:00,0.06529680365296804,0.0009998224111903986,0.4226124008818859,0.02759523896169392,0.37309675874178105,0.10526315789473689,0.0443662401594825
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,92000.0,2025-04-18T08:00:00+00:00,0.046118721461187215,0.010703177843623707,-0.09184299093468337,0.004235681317079005,0.054885895241781,0.046511627906976626,0.010242275066620558
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,80000.0,2026-03-27T08:00:00+00:00,0.9858447488584475,0.15350085698890953,0.04791895144047524,0.04724064664839546,0.12424373314178105,0.04255319148936174,0.005960251429036392
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,CALL,1,79000.0,2025-04-04T08:00:00+00:00,0.007762557077625571,0.06242638730637751,0.06049773364733549,0.0004696171105044307,0.18916558344178103,0.03200000000000003,0.001088305295062959
2025-04-01T12:00:00+00:00,83926.85,0.41351409725821897,PUT,0,80000.0,2025-04-04T08:00:00+00:00,0.007762557077625571,0.004509226644866526,0.04791895144047524,0.00037197359565665713,0.16335460994178108,0.021978021978022035,0.1795602026078643
