snapshot_time_utc,option_type,is_call,strike,expiry_utc,underlying_price_ref,realized_vol_14d_ann,time_to_maturity_years,option_price,bsm_price,bsm_error_raw,bsm_error_rel,bsm_error_log,log_moneyness,ttm_x_abs_log_moneyness,iv_rv_gap,rel_bid_ask_spread,log_rel_bid_ask_spread,oi_rel,log_moneyness_z,time_to_maturity_years_z,iv_rv_gap_z,rel_bid_ask_spread_z,log_rel_bid_ask_spread_z,oi_rel_z,ttm_x_abs_log_moneyness_z
2025-10-01T12:00:00+00:00,PUT,0,122000.0,2025-11-28T08:00:00+00:00,116785.79,0.3031788271043479,0.1584474885844748,0.0772184344160704,8343.758194595677,-8343.68097616126,-0.999990745365264,-11.59038607938974,-0.0436796426993286,0.0069209296879758,0.0640488865956521,0.0129032258064516,0.012820688429061424,0.0029423012385761,-0.6748889530261422,-0.10624572607576928,-0.7935727553697657,-0.47336517578337783,-0.563740929339331,-0.45900196125658904,-0.4521690371221828
2025-10-01T12:00:00+00:00,CALL,1,108000.0,2025-10-04T08:00:00+00:00,116785.79,0.3031788271043479,0.0077625570776255,0.0760094437681372,8812.368856097732,-8812.292846653963,-0.9999913746865333,-11.660809251740615,0.0782101749097082,0.0006071109467876,0.1334670509956521,,,0.0,-0.5983775751252187,-0.6704187676408995,-0.4024536988556492,,,-0.4987613920710476,-0.46594093698785893
2025-10-01T12:00:00+00:00,PUT,0,114500.0,2025-10-04T08:00:00+00:00,116785.79,0.3031788271043479,0.0077625570776255,0.0036931926684629,405.9886432828207,-405.98495009015227,-0.9999909032118767,-11.607589160213362,0.0197665790396334,0.0001534391980245,0.010935059895652,0.0273972602739726,0.02702867238791931,0.0025130530472719,-0.6350631665652425,-0.6704187676408995,-1.0928291526875593,-0.39221062193782136,-0.4507299564177846,-0.46480240872288925,-0.46693050006401965
2025-10-01T12:00:00+00:00,CALL,1,105000.0,2025-11-28T08:00:00+00:00,116785.79,0.3031788271043479,0.1584474885844748,0.1304422668924506,13570.735881634217,-13570.605439367324,-0.999990387973944,-11.55249552932252,0.1063810518764044,0.016855810502791,0.093320166095652,0.0270793036750483,0.026719146733509648,0.0066728582466382,-0.5806944523207138,-0.10624572607576928,-0.628651148468259,-0.3939909147876676,-0.45319193803673247,-0.40859079964037764,-0.4304987628606648
2025-10-01T12:00:00+00:00,PUT,0,112000.0,2025-10-31T08:00:00+00:00,116785.79,0.3031788271043479,0.0817351598173516,0.0204468951394264,1923.9513443766118,-1923.9308974814724,-0.999989372446866,-11.452060577063454,0.0418425307388332,0.0034200059371009,0.0499844051956521,0.0246913580246913,0.024391453124159104,0.1316699315544247,-0.6212058853245921,-0.3934610926907443,-0.8728155118309022,-0.40736142693157207,-0.47170652252793827,1.2804995025463015,-0.45980536203279354
2025-10-01T12:00:00+00:00,CALL,1,105000.0,2025-12-26T08:00:00+00:00,116785.79,0.3031788271043479,0.2351598173515981,0.1470583870056957,14570.525215178466,-14570.378156791461,-0.9999899071320468,-11.503681526800287,0.1063810518764044,0.0250165487289261,0.1106760748956521,0.0273037542662116,0.02693765573180842,0.0073284373024482,-0.5806944523207138,0.18096964053920617,-0.5308636783806592,-0.3927341779124348,-0.45145390718299816,-0.3997319344191198,-0.41269830417040204
2025-10-01T12:00:00+00:00,PUT,0,280000.0,2026-09-25T08:00:00+00:00,116785.79,0.3031788271043479,0.9831050228310504,1.2234439400014,155115.64908394887,-155114.42564000888,-0.9999921126981887,-11.750256457330819,-0.8744482011353217,0.8596744187417114,0.168150516895652,,,0.0,-1.1963701429199656,2.9813194650352166,-0.20703849914968442,,,-0.4987613920710476,1.4078836730929025
2025-10-01T12:00:00+00:00,PUT,0,105000.0,2025-12-26T08:00:00+00:00,116785.79,0.3031788271043479,0.2351598173515981,0.0309839918959585,2046.588588378323,-2046.557604386427,-0.9999848606641941,-11.098214181069977,0.1063810518764044,0.0250165487289261,0.1106760748956521,0.016260162601626,0.016129381929883613,0.0340823063895544,-0.5806944523207138,0.18096964053920617,-0.5308636783806592,-0.4545691181011233,-0.5374234255534406,-0.0382058632467954,-0.41269830417040204
2025-10-01T12:00:00+00:00,PUT,0,105000.0,2025-11-28T08:00:00+00:00,116785.79,0.3031788271043479,0.1584474885844748,0.0196704373366208,1287.0206551709198,-1287.0009847335832,-0.9999847163001949,-11.088723669692657,0.1063810518764044,0.016855810502791,0.093320166095652,0.0253164556962025,0.025001302205417242,0.0360802616072613,-0.5806944523207138,-0.10624572607576928,-0.628651148468259,-0.4038613991956739,-0.4668557542410466,-0.011207416858196869,-0.4304987628606648
2025-10-01T12:00:00+00:00,CALL,1,112000.0,2025-10-03T08:00:00+00:00,116785.79,0.3031788271043479,0.0050228310502283,0.0422096158185032,4826.221350474138,-4826.179140858319,-0.9999912541069393,-11.646926332272427,0.0418425307388332,0.0002101679626151,0.0762554127956521,0.0359281437125748,0.03529778208102379,0.1129312968758536,-0.6212058853245921,-0.6806764593057197,-0.7247981766708964,-0.34444476068506974,-0.3849570688414217,1.0272836049719878,-0.4668067614998526
2025-10-01T12:00:00+00:00,PUT,0,115000.0,2025-10-02T08:00:00+00:00,116785.79,0.3031788271043479,0.002283105022831,0.0011191399770952,122.56844952354004,-122.56733038356295,-0.9999908692654477,-11.603864411788498,0.0154092736706778,3.518099011570292e-05,0.012752597095652,0.0869565217391303,0.08338160893905092,0.0227189360888465,-0.6377982878760579,-0.6909341509705405,-1.0825886999042342,-0.05872822941233851,-0.0024960475767524795,-0.19175952708194854,-0.4671884485836675
